권역,시군,읍면동,주용도,용도지역,건물유형,건축년도,규모,건폐율(%),거래유형,매도자,매수자,대지(평),연면적(평),거래금액(만원),대지평단가(만원),연면적평단가(만원),거래월,신규
남부,수원시,이목동,공장,일반공업,집합,2023,소형(~500평),0,중개거래,개인,개인,0,11.5,17200,0,1492.0,2025-11,
남부,수원시,이목동,공장,일반공업,집합,2023,소형(~500평),0,중개거래,개인,개인,0,7.6,6100,0,801.5,2025-11,
남부,수원시,이목동,공장,일반공업,집합,2023,소형(~500평),0,중개거래,개인,개인,0,11.5,16500,0,1431.3,2025-11,
남부,수원시,이목동,공장,일반공업,집합,2023,소형(~500평),0,중개거래,개인,개인,0,6.3,4600,0,727.2,2026-05,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,38.0,33000,0,869.3,2025-07,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,36.1,32000,0,885.4,2025-07,
남부,수원시,고색동,공장,일반공업,집합,,소형(~500평),0,중개거래,법인,법인,0,74.1,65000,0,877.2,2025-07,
남부,수원시,호매실동,공장,근린상업,집합,2021,소형(~500평),0,중개거래,개인,법인,0,18.5,18325,0,992.6,2025-07,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,직거래,개인,법인,0,37.8,31991,0,845.6,2025-08,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,43.3,34500,0,796.3,2025-08,
남부,수원시,고색동,공장,일반공업,집합,2008,소형(~500평),0,중개거래,법인,법인,0,41.8,29000,0,693.6,2025-09,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,법인,0,40.9,30000,0,733.4,2026-04,
남부,수원시,고색동,공장,일반공업,집합,2022,소형(~500평),0,직거래,개인,법인,0,30.5,46000,0,1508.6,2025-10,
남부,수원시,호매실동,창고시설,일반상업,집합,2021,소형(~500평),0,중개거래,법인,개인,0,13.6,2500,0,183.5,2025-10,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,중개거래,개인,법인,0,37.6,38800,0,1031.7,2025-11,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,중개거래,개인,법인,0,33.6,34900,0,1037.8,2025-11,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,개인,개인,0,39.9,31500,0,788.9,2025-11,
남부,수원시,세류동,공장,준주거,일반,1951,소형(~500평),22.9,중개거래,개인,법인,254.4,58.3,337150,1325.3,5782.0,2025-11,
남부,수원시,호매실동,공장,근린상업,집합,2021,소형(~500평),0,중개거래,개인,개인,0,19.7,27000,0,1367.9,2025-12,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,중개거래,법인,법인,0,35.5,50500,0,1421.4,2025-12,
남부,수원시,고색동,공장,일반공업,집합,2022,소형(~500평),0,중개거래,법인,법인,0,44.6,60900,0,1365.6,2026-01,
남부,수원시,고색동,창고시설,제1종일반주거,일반,2005,소형(~500평),3.6,직거래,개인,법인,225.4,8.0,160300,711.3,19981.8,2026-01,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,직거래,법인,개인,0,43.1,31000,0,719.0,2026-02,
남부,수원시,호매실동,공장,근린상업,집합,2021,소형(~500평),0,직거래,개인,개인,0,11.6,16000,0,1377.8,2026-02,
남부,수원시,고색동,공장,일반공업,일반,2006,중형(500~2천평),120.3,직거래,법인,법인,701.4,843.5,900000,1283.2,1067.0,2026-03,
남부,수원시,고색동,공장,일반공업,일반,2013,중형(500~2천평),112.7,직거래,법인,법인,1301.0,1466.5,1400000,1076.1,954.7,2026-03,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,중개거래,법인,법인,0,33.6,32300,0,960.5,2026-03,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,직거래,개인,법인,0,19.8,27000,0,1363.9,2026-05,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,개인,0,42.8,30500,0,712.7,2026-06,
남부,수원시,고색동,공장,일반공업,집합,2017,소형(~500평),0,중개거래,개인,법인,0,38.2,37000,0,967.4,2026-06,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,86.8,77400,0,891.6,2026-06,
남부,수원시,고색동,공장,일반공업,집합,2010,소형(~500평),0,중개거래,법인,법인,0,39.9,35600,0,891.7,2026-06,
남부,수원시,고색동,공장,일반공업,일반,,대형(2천평~),180.2,직거래,법인,법인,4844.2,8728.4,5600000,1156.0,641.6,2026-06,
